"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y"
"F2S4_161010_026_G01","F2S4",1243422,7109,567012180,"Cells","Mus musculus",274153,"M",58,"Normal","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Sst-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/10/2016","F2S4_161010_026","RFP-positive","A8S4_161216_02","L8S4_161222_01_G04",391,"SM-D9CXP_S31_E1-50","SM-D9CXP","R8S4-170112",2109927,79.2822476206807,15.563806534366,5.15394584495332,0.117918772,0.000331765,76.18040814,0.00939132,0.005693562,86.71764473,0.357810465,8477,7212,32.7,32.7,"GABAergic","Sst","Sst Chrna2 Glra3",0.685,0.819182778,"Intermediate","F2S4_161010_026_G01","Sst",1,"F2S4_161010_026_G01",4750.45559838657,1164.81461719242
"F2S4_161028_010_H01","F2S4",1764635,7234,567013991,"Cells","Mus musculus",278251,"M",54,"Normal","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Sst-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/28/2016","F2S4_161028_010","RFP-positive","A8S4_161216_04","L8S4_170104_01_H06",352,"SM-D9CXR_S48_E1-50","SM-D9CXR","R8S4-170112",2273229,94.9801633635589,1.50677284586968,3.51306379057144,0.184759213,0.000307932,82.42926692,0.009970399,0.005497466,94.78987819,0.404991316,8093,7300,201.04,201.04,"GABAergic","Sst","Sst Chrna2 Ptgdr",0.7388,0.83615856,"Core","F2S4_161028_010_H01","Sst",1,"F2S4_161028_010_H01",4738.91290359174,1203.11299186214
"F2S4_160818_005_F01","F2S4",1729622,10154,551133049,"Cells","Mus musculus",264196,"F",56,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/18/2016","F2S4_160818_005","RFP-positive","A8S4_160901_02","L8S4_160908_03_F02",437,"LS-15544_S14_E1-50","LS-15544","R8S4-160916",2539927,81.6661990137125,14.3463480947605,3.98745289152703,0.148744432,0.001338621,85.31237315,0.002531175,0.005124557,95.9657502,0.352200412,11262,10365,261.03,261.03,"Glutamatergic","L6 IT","L6 IT VISp Col18a1",0.0235,0.878842027,"Core","F2S4_160818_005_F01","L6 IT",1,"F2S4_160818_005_F01",3662.88136074389,1275.0174948901
"F2S4_160713_001_G01","F2S4",1016230,10438,541795244,"Cells","Mus musculus",256553,"F",59,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/13/2016","F2S4_160713_001","RFP-positive","A8S4_160718_01","L8S4_160726_01_G03",411,"LS-15382_S23_E1-50","LS-15382","R8S4-160805",2538477,51.8582619488188,41.6688567523567,6.47288129882451,0.058263281,0.000118181,82.44163725,0.002924194,0.006104054,88.72568079,0.349210464,11868,10697,152.45,152.45,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0436,0.845037267,"Core","F2S4_160713_001_G01","L4",1,"F2S4_160713_001_G01",5597.97260975651,2325.72028737696
"F2S4_160713_006_C01","F2S4",906097,9103,541797095,"Cells","Mus musculus",256553,"F",59,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/13/2016","F2S4_160713_006","RFP-positive","A8S4_160718_03","L8S4_160726_03_C04",420,"LS-15384_S27_E2-50","LS-15384","R8S4-160805",2225204,48.313190885578,44.9404695238617,6.74633959056036,0.013122392,4.49e-05,20.04265676,0.000433668,0.003080616,22.62695915,0.306405991,9325,8280,21.14,21.14,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0364,0.853035175,"Core","F2S4_160713_006_C01","L4",1,"F2S4_160713_006_C01",5557.61508913852,2421.04987092686
"F2S4_160719_002_C01","F2S4",1471291,8917,541802008,"Cells","Mus musculus",258450,"M",53,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/19/2016","F2S4_160719_002","RFP-positive","A8S4_160721_01","L8S4_160728_04_C06",407,"LS-15389_S43_E1-50","LS-15389","R8S4-160805",2634044,66.879225895803,26.8322646536719,6.28850945052515,0.093961984,0.000151858,86.06446969,0.003274053,0.004116484,94.96010697,0.320600114,10259,9090,228.17,228.17,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0364,0.871348421,"Core","F2S4_160719_002_C01","L4",1,"F2S4_160719_002_C01",5603.90275152528,2369.01631175435
"F2S4_160719_009_F01","F2S4",814225,8564,543127781,"Cells","Mus musculus",258450,"M",53,"Normal","Nr5a1-Cre/wt;Ai14(RCL-tdT)/wt","Nr5a1-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/19/2016","F2S4_160719_009","RFP-positive","A8S4_160721_02","L8S4_160729_01_F12",334,"LS-15390_S94_E1-50","LS-15390","R8S4-160812",2493720,40.9424832125959,51.5110820033416,7.54643478406249,0.036571869,8.02e-05,83.99732127,0.002244438,0.006146239,90.65007298,0.286127028,10766,8723,48.52,48.52,"Glutamatergic","L4","L4 IT VISp Rspo1",0.0392,0.837499713,"Core","F2S4_160719_009_F01","L4",1,"F2S4_160719_009_F01",5566.05134055081,2381.94962870096
"F2S4_160113_020_F01","F2S4",1105172,10177,527125684,"Cells","Mus musculus",225974,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/13/2016","F2S4_160113_020","RFP-positive","A8S4_160120_01","L8S4_160125_01_F02",520,"LS-15000_S14_E1-50","LS-15000","R8S4-160203",1922920,69.4287676791802,25.1879181902369,5.3833141305829,0.120389824,5.2e-05,85.40157677,0.002910678,0.020977472,94.031837,0.330303228,11587,10439,157.57,157.57,"Glutamatergic","L6 IT","L6 IT VISp Col23a1 Adamts2",0.8359,0.847491826,"Core","F2S4_160113_020_F01","L6 IT",1,"F2S4_160113_020_F01",5453.38127292237,2889.13261914432
"F2S4_160120_021_E01","F2S4",1900001,10063,527130534,"Cells","Mus musculus",226423,"M",56,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/20/2016","F2S4_160120_021","RFP-positive","A8S4_160203_02","L8S4_160211_02_E09",536,"LS-15009_S69_E1-50","LS-15009","R8S4-160225",2716974,85.4045377864295,10.7308222134782,3.86464000009228,0.161171951,0.000699307,83.14661826,0.005001888,0.016041375,100,0.372251312,11147,10177,338.61,338.61,"Glutamatergic","L6 IT","L6 IT VISp Col23a1 Adamts2",0.0789,0.882854733,"Core","F2S4_160120_021_E01","L6 IT",1,"F2S4_160120_021_E01",5480.29099732545,2833.32807767403
"F2S4_160701_018_E01","F2S4",1662644,9056,539550555,"Cells","Mus musculus",254569,"F",54,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","R","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/1/2016","F2S4_160701_018","RFP-positive","A8S4_160707_03","L8S4_160714_01_E09",392,"LS-15369_S69_E1-50","LS-15369","R8S4-160722",2441032,80.6013246894305,15.2899038057607,4.10877150480882,0.143013283,0.003154404,86.62721341,0.002881568,0.003685327,96.53437562,0.347482809,10147,9240,211.39,211.39,"Glutamatergic","L6 IT","L6 IT VISp Col23a1 Adamts2",0.0522,0.852939412,"Core","F2S4_160701_018_E01","L6 IT",1,"F2S4_160701_018_E01",5443.99164786613,2850.25029743762
"F2S4_160317_029_D01","F2S4",1798035,10545,527153807,"Cells","Mus musculus",234648,"M",58,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/17/2016","F2S4_160317_029","RFP-positive","A8S4_160329_03","L8S4_160405_03_D04",528,"LS-15049_S28_E1-50","LS-15049","R8S4-160411-M",2487857,83.9921697718101,12.2602725885451,3.74755763964472,0.123037618,0.000160781,87.80070559,0.00273408,0.003834626,96.47749047,0.344557612,11537,10752,446.17,446.17,"Glutamatergic","L6 IT","L6 IT VISp Penk Col27a1",0.211,0.886946131,"Core","F2S4_160317_029_D01","L6 IT",1,"F2S4_160317_029_D01",4131.79760764813,2509.42273038248
"F2S4_170519_008_E01","F2S4",2350814,10502,595881170,"Cells","Mus musculus",318544,"F",57,"Normal","Penk-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Penk-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/19/2017","F2S4_170519_008","RFP-positive","A8S4_170523_04","L8S4_170531_04_E04",388,"SM-D9EQV_S29_E1-50","SM-D9EQV","R8S4-170608",3290754,84.5491040572102,11.8178920820014,3.63300386078841,0.145893616,0.000273494,85.90818396,0.004370427,0.002041781,95.68621659,0.356085073,11563,10630,388.36,388.36,"Glutamatergic","L6 IT","L6 IT VISp Penk Col27a1",0.2891,0.887641855,"Core","F2S4_170519_008_E01","L6 IT",1,"F2S4_170519_008_E01",4170.96082603043,2517.56166925311
"F2S4_160304_011_C01","F2S4",1505419,8397,527146546,"Cells","Mus musculus",233280,"M",55,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/4/2016","F2S4_160304_011","RFP-positive","A8S4_160310_02","L8S4_160317_01_C10",502,"LS-15031_S75_E1-50","LS-15031","R8S4-160328",2668699,75.0248161832029,19.415392796037,5.55979102076011,0.111440069,0.000299772,77.46096506,0.001689213,0.073655365,88.40727261,0.394510338,9894,8561,102.67,102.67,"GABAergic","Sst","Sst Myh8 Fibin",0.168,0.818456787,"Intermediate","F2S4_160304_011_C01","Sst",1,"F2S4_160304_011_C01",4262.20789278426,1207.62652462126
"F2S4_161111_007_G01","F2S4",1757721,10352,562415765,"Cells","Mus musculus",280713,"F",55,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","LP","LP, LD, PO, VPM","PTLp, SSp, HPF","CAV2-Cre.V795","OK","11/11/2016","F2S4_161111_007","RFP-positive","A8S4_161123_02","L8S4_161201_02_G12",414,"LS-15911_S95_E1-50","LS-15911","R8S4-161215",2347539,93.1588917795602,3.5331311681592,3.30797705228059,0.120168398,0.000681565,81.22097226,0.003063634,0.002540107,91.02626197,0.360638579,11294,10467,616.82,616.82,"Glutamatergic","L5 PT","L5 PT VISp C1ql2 Ptgfr",0.3234,0.885924138,"Intermediate","F2S4_161111_007_G01","L5 PT",2,"F2S4_161111_007_G01",2085.66822268807,4930.93779601113
"F2S4_180110_072_D01","F2S4",816012,10088,660546488,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_072","RFP-positive","A8S4_180111_10","L8S4_180118_03_D11",374,"SM-GE676_S180_E1-50","SM-GE676","R8S4-180124",1134207,85.5895718891753,10.6598210074004,3.75060710342421,0.111619837,0.000352669,85.501412,0.002122188,0.001830354,95.97198748,0.362776615,11025,10282,151.65,151.65,"Glutamatergic","L5 PT","L5 PT VISp C1ql2 Ptgfr",0.4091,0.899030549,"Intermediate","F2S4_180110_072_D01","L5 PT",2,"F2S4_180110_072_D01",2123.1913733187,4917.08091444452
"F2S4_160126_021_H01","F2S4",1255297,9377,527142464,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_021","RFP-positive","A8S4_160223_01","L8S4_160302_01_H12",573,"LS-15020_S96_E1-50","LS-15020","R8S4-160308",1893992,82.8223785773784,12.9851936905916,4.19242773202998,0.12059185,0.000316791,81.67447381,0.004553874,0.036239329,92.46538528,0.377517929,10427,9568,296.73,296.73,"Glutamatergic","L2/3 IT","L2/3 IT VISp Adamts2",0.4809,0.879796022,"Core","F2S4_160126_021_H01","L2/3 IT",1,"F2S4_160126_021_H01",2193.26563254754,2254.51545960486
"F2S4_160426_015_H01","F2S4",1411614,9286,522734588,"Cells","Mus musculus",242303,"F",53,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/26/2016","F2S4_160426_015","RFP-positive","A8S4_160428_02","L8S4_160505_03_H08",476,"LS-15083_S64_E1-50","LS-15083","R8S4-160520",2079718,80.1502270273351,15.9413642039331,3.90840876873188,0.134008553,0.000480834,87.11075252,0.001739178,0.00388418,96.6764244,0.343686967,10369,9489,304.37,304.37,"Glutamatergic","L2/3 IT","L2/3 IT VISp Adamts2",0.7475,0.878695665,"Core","F2S4_160426_015_H01","L2/3 IT",1,"F2S4_160426_015_H01",2261.17208273078,2219.24852201675
"F2S4_161117_001_B01","F2S4",1728346,10650,562415217,"Cells","Mus musculus",281759,"M",55,"Normal","Ai11(RCL-FnGF-nT)/wt","","Ai110(RCL-FnGF-nT)","L","VISp","L1-L6","Retrograde","AUDd","PTLp, VISal, AUDd","none","RV-dGL-Cre","Inj_Site_Dissected","11/17/2016","F2S4_161117_001","GFP-positive","A8S4_161123_02","L8S4_161201_02_B04",418,"LS-15911_S26_E1-50","LS-15911","R8S4-161215",2588851,79.1146631636916,16.575970133982,4.30936670232634,0.115958779,0.000424899,86.16560011,0.004308475,0.004203409,95.08886375,0.338910209,11874,10786,7.73,7.73,"Glutamatergic","L2/3 IT","L2/3 IT VISp Agmat",0.6272,0.88430852,"Core","F2S4_161117_001_B01","L2/3 IT",1,"F2S4_161117_001_B01",2221.83921703502,2226.52349165802
"F2S4_170707_019_F01","F2S4",1922055,9137,609153901,"Cells","Mus musculus",331242,"F",56,"Normal","Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","Htr3a-Cre_NO152","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/7/2017","F2S4_170707_019","RFP-positive","A8S4_170710_07","L8S4_170719_05_F09",410,"SM-DD43W_S70_E1-50","SM-DD43W","R8S4-170803",2510215,92.1054400465715,4.85889350977647,3.03566644365203,0.444424083,0.000159349,84.15685509,0.004071364,0.002566314,95.96102326,0.379078803,10199,9271,192.81,192.81,"GABAergic","Sncg","Sncg Vip Itih5",0.0689,0.868277775,"Core","F2S4_170707_019_F01","Sncg",1,"F2S4_170707_019_F01",2586.76033855676,6561.57795126479
"F2S4_170707_020_D01","F2S4",1641057,11111,609153983,"Cells","Mus musculus",331242,"F",56,"Normal","Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","Htr3a-Cre_NO152","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/7/2017","F2S4_170707_020","RFP-positive","A8S4_170710_07","L8S4_170719_05_D10",413,"SM-DD43W_S76_E1-50","SM-DD43W","R8S4-170803",2225493,88.6980060297918,7.87388686224036,3.42810710796786,0.83132142,0.000359471,84.27588853,0.001167831,0.002200411,95.84465105,0.37742516,12073,11277,155.47,155.47,"GABAergic","Sncg","Sncg Vip Itih5",0.4243,0.895259986,"Intermediate","F2S4_170707_020_D01","Sncg",1,"F2S4_170707_020_D01",2577.1836880621,6600.41462275519
"F2S4_151223_006_D01","F2S4",1497329,9206,527124366,"Cells","Mus musculus",223184,"M",53,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","12/23/2015","F2S4_151223_006","RFP-positive","A8S4_160107_01","L8S4_160108_01_D10",511,"LS-14690_S76_E1-50","LS-14690","R8S4-160203",2344841,78.1573157481328,16.7881134926406,5.05457075922662,0.114591992,0.000170587,83.639573,0.003822008,0.011989299,94.08497207,0.344747205,10456,9374,309.19,309.19,"GABAergic","Lamp5","Lamp5 Lsp1",0.0267,0.875213905,"Core","F2S4_151223_006_D01","Lamp5",1,"F2S4_151223_006_D01",2499.86245776525,3073.25991734752
"F2S4_160502_020_A01","F2S4",1827914,8175,523738126,"Cells","Mus musculus",242313,"M",59,"Normal","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Slc32a1-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/2/2016","F2S4_160502_020","RFP-positive","A8S4_160511_02","L8S4_160517_02_A08",439,"LS-15099_S57_E1-50","LS-15099","R8S4-160527",2593105,84.0208266614054,12.0233479449896,3.95582539360504,0.095406858,3.86e-05,85.77608697,0.002462685,0.005881366,95.45124474,0.349993592,9239,8321,342.83,342.83,"GABAergic","Lamp5","Lamp5 Lsp1",0.0514,0.87160249,"Core","F2S4_160502_020_A01","Lamp5",1,"F2S4_160502_020_A01",2465.71100445561,3052.43501548917
"F2S4_170609_007_E01","F2S4",2629298,8617,601517911,"Cells","Mus musculus",323354,"M",59,"Normal","Ctgf-T2A-dgCre/wt;Snap25-LSL-F2A-GFP/wt","Ctgf-T2A-dgCre","Snap25-LSL-F2A-GFP","L","VISp","L1-L6","Retrograde","ACA","ACA, MOs","none","AAV2-retro-EF1a-tdTomato","OK","6/9/2017","F2S4_170609_007","RFP-positive","A8S4_170612_07","L8S4_170614_05_E12",426,"SM-DAIFV_S93_E1-50","SM-DAIFV","R8S4-170622",3782133,84.5075966895016,11.6829160393848,3.80948727111355,0.096189108,0.000449482,84.09363182,0.002565484,0.002274114,95.65903685,0.364043851,9995,8750,124.53,124.53,"Glutamatergic","L2/3 IT","L2/3 IT VISp Adamts2",0.7879,0.864574924,"Intermediate","F2S4_170609_007_E01","L2/3 IT",1,"F2S4_170609_007_E01",3059.52428744837,933.78487455333
"F2S4_160615_003_F01","F2S4",1677411,9308,535949078,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_003","RFP-positive","A8S4_160620_01","L8S4_160629_02_F05",406,"LS-15350_S38_E1-50","LS-15350","R8S4-160712",2497856,79.5979307460845,15.6216824032618,4.78038685065375,0.133674639,0.000240206,86.58273335,0.003837291,0.003562655,96.48358432,0.346717199,10555,9520,221.39,221.39,"Glutamatergic","L5 IT","L5 IT VISp Batf3",0.1374,0.886400301,"Core","F2S4_160615_003_F01","L5 IT",1,"F2S4_160615_003_F01",1809.20991085033,5239.28534867145
"F2S4_161109_002_C01","F2S4",1802215,10143,561423679,"Cells","Mus musculus",280709,"M",53,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, PTLp, VISam","none","CAV2-Cre.V795","Inj_Site_Dissected","11/9/2016","F2S4_161109_002","RFP-positive","A8S4_161110_01","L8S4_161117_05_H12",403,"SM-D9EOS_S96_E1-50","SM-D9EOS","R8S4-161130",2499036,86.2186831470543,9.65230646285911,4.12901039008655,0.117005117,0.000520201,85.23778769,0.00446172,0.003273262,95.44188239,0.365793564,11211,10290,582.22,582.22,"Glutamatergic","L5 IT","L5 IT VISp Batf3",0.1374,0.88985012,"Core","F2S4_161109_002_C01","L5 IT",1,"F2S4_161109_002_C01",1920.11788888978,5205.49055319591
"F2S4_170116_008_A01","F2S4",1881300,9681,570285878,"Cells","Mus musculus",292251,"M",58,"Normal","Rorb-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Rorb-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/16/2017","F2S4_170116_008","RFP-positive","A8S4_170120_01","L8S4_170126_04_A08",434,"SM-D9CYT_S57_E1-50","SM-D9CYT","R8S4-170208",2627365,85.1770065863224,10.8740274288177,3.94896598485992,0.148818303,0.000228366,85.61136348,0.004115911,0.001614165,95.71361421,0.357493607,10780,9838,234.46,234.46,"Glutamatergic","L5 IT","L5 IT VISp Batf3",0.1374,0.873159678,"Core","F2S4_170116_008_A01","L5 IT",1,"F2S4_170116_008_A01",1820.30025919376,5190.02970941057
"F2S4_180110_005_B01","F2S4",763361,9284,660543457,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_005","RFP-positive","A8S4_180111_08","L8S4_180118_01_B02",375,"SM-GE675_S106_E1-50","SM-GE675","R8S4-180124",1041457,86.4644126879189,9.67033114067343,3.86525617140771,0.101876506,0.000480097,86.12847194,0.002554114,0.002547393,96.15538616,0.360733799,10186,9444,177.64,177.64,"Glutamatergic","L5 IT","L5 IT VISp Batf3",0.1374,0.902871792,"Core","F2S4_180110_005_B01","L5 IT",1,"F2S4_180110_005_B01",1896.87912207092,5166.1144202825
"F2S4_160329_025_A01","F2S4",1752419,8780,519595835,"Cells","Mus musculus",237300,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/29/2016","F2S4_160329_025","RFP-positive","A8S4_160407_03","L8S4_160415_01_A03",408,"LS-15062_S17_E1-50","LS-15062","R8S4-160504",2357681,90.0116653647229,6.09307174277539,3.89526289250173,0.117191427,0.005810795,84.09929079,0.002580502,0.009782918,94.74878069,0.362115095,9696,8864,326.59,326.59,"Glutamatergic","L6 IT","L6 IT VISp Penk Col27a1",0.209,0.84307989,"Core","F2S4_160329_025_A01","L6 IT",1,"F2S4_160329_025_A01",5340.08331109993,2785.86709638573
"F2S4_161107_011_H01","F2S4",1533938,6096,567014193,"Cells","Mus musculus",280325,"M",55,"Normal","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Vip-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L1-L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","11/7/2016","F2S4_161107_011","RFP-positive","A8S4_161216_04","L8S4_170104_01_H09",316,"SM-D9CXR_S72_E1-50","SM-D9CXR","R8S4-170112",2375901,82.3364149123375,13.4122278645404,4.25135722312209,0.153162947,0.000294625,79.96987248,0.00974283,0.0076733,91.94221476,0.40380337,7695,6192,302.2,302.2,"GABAergic","Vip","Vip Chat Htr1f",0.1057,0.784717924,"Core","F2S4_161107_011_H01","Vip",1,"F2S4_161107_011_H01",5218.28717183479,1091.28036175906
"F2S4_160422_024_E01","F2S4",737629,9258,535957238,"Cells","Mus musculus",241111,"F",55,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/22/2016","F2S4_160422_024","RFP-positive","A8S4_160620_04","L8S4_160701_01_E04",449,"LS-15353_S29_E1-50","LS-15353","R8S4-160712",1000513,84.5279767503982,12.0068749548364,3.4651482947654,0.163516116,0.002698616,88.85681645,0.00284554,0.002801563,97.16465453,0.330110926,10044,9438,604.69,604.69,"Glutamatergic","L6 IT","L6 IT VISp Penk Col27a1",0.6267,0.877738167,"Core","F2S4_160422_024_E01","L6 IT",1,"F2S4_160422_024_E01",3508.30533800666,3261.79483016428
"F2S4_160706_009_H01","F2S4",1765707,10333,539381882,"Cells","Mus musculus",254570,"F",59,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","7/6/2016","F2S4_160706_009","RFP-positive","A8S4_160713_02","L8S4_160719_03_H04",427,"LS-15375_S32_E1-50","LS-15375","R8S4-160729",2409850,85.9851894834504,10.3580301334267,3.65678038312288,0.128472727,0.000207482,86.70502313,0.004189887,0.004053364,96.33670145,0.353311647,11382,10525,561.86,561.86,"Glutamatergic","L6 IT","L6 IT VISp Penk Col27a1",0.1175,0.885857572,"Core","F2S4_160706_009_H01","L6 IT",1,"F2S4_160706_009_H01",3548.83561914443,3287.72573495129
"F2S4_160404_048_H01","F2S4",1689523,7404,519597621,"Cells","Mus musculus",237584,"M",58,"Normal","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","Gad2-IRES-Cre","Ai14(RCL-tdT)","L","VISp","L2/3","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/4/2016","F2S4_160404_048","RFP-positive","A8S4_160408_02","L8S4_160415_03_H06",459,"LS-15064_S48_E1-50","LS-15064","R8S4-160504",2317318,90.4911385369643,6.00406235474831,3.50479910828738,0.207006548,0.00051784,81.56139986,0.004175948,0.011067536,93.82881417,0.373978818,8606,7487,197.64,197.64,"GABAergic","Vip","Vip Crispld2 Kcne4",0.4137,0.84464739,"Core","F2S4_160404_048_H01","Vip",1,"F2S4_160404_048_H01",1426.81939843393,4248.51627086183
