"","orig.ident","nCount_RNA","nFeature_RNA","sample_id","sample_type","organism","donor","sex","age_days","eye_condition","genotype","driver_lines","reporter_lines","brain_hemisphere","brain_region","brain_subregion","injection_label_direction","injection_primary","injection_secondary","injection_tract","injection_material","injection_exclusion_criterion","facs_date","facs_container","facs_sort_criteria","rna_amplification_set","library_prep_set","library_prep_avg_size_bp","seq_name","seq_tube","seq_batch","total_reads","percent_exon_reads","percent_intron_reads","percent_intergenic_reads","percent_rrna_reads","percent_mt_exon_reads","percent_reads_unique","percent_synth_reads","percent_ecoli_reads","percent_aligned_reads_total","complexity_cg","genes_detected_cpm_criterion","genes_detected_fpkm_criterion","tdt_cpm","gfp_cpm","class","subclass","cluster","confusion_score","cluster_correlation","core_intermediate_call","id_raw","cell_type","dbscan_filter","id_new","coord_x","coord_y","CC_1","CC_2","CC_3"
"F2S4_180110_073_B01","F2S4",892050,9428,660546560,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_073","RFP-positive","A8S4_180111_10","L8S4_180118_03_B12",383,"SM-GE676_S186_E1-50","SM-GE676","R8S4-180124",1298130,81.3648359723416,14.8652170343612,3.76994699329723,0.08897414,0.000770339,86.01965905,0.00190967,0.001771779,96.16525309,0.353479613,10434,9612,143.28,143.28,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1371,0.895253982,"Core","F2S4_180110_073_B01","L5 IT",1,"F2S4_180110_073_B01",2706.79013153536,2367.46464499521,-0.0836496425550359,0.307941316565309,-0.172456305666966
"F2S4_160126_005_B01","F2S4",1718800,11363,527131308,"Cells","Mus musculus",227236,"M",56,"EYE: Cataracts (R)","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/26/2016","F2S4_160126_005","RFP-positive","A8S4_160204_02","L8S4_160212_02_B02",615,"LS-15011_S10_E1-50","LS-15011","R8S4-160225",2495063,83.6509579444448,11.8604019569741,4.48864009858106,0.152300764,4.01e-05,83.67472084,0.003375065,0.011093507,93.15396044,0.352137237,12606,11542,200.4,200.4,"Glutamatergic","L5 IT","Batf3",0.1462,0.897551573,"Core","F2S4_160126_005_B01","L5 IT",1,"F2S4_160126_005_B01",5139.22207449273,2001.24848898391,-0.0037903713845665,-0.0703150599646265,0.487747376650667
"F2S4_160329_027_B01","F2S4",1457101,10146,541798124,"Cells","Mus musculus",237300,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","3/29/2016","F2S4_160329_027","RFP-positive","A8S4_160720_01","L8S4_160726_04_B05",458,"LS-15385_S34_E2-50","LS-15385","R8S4-160805",3171532,86.8982573485301,9.38972012004606,3.71202253142381,0.066907728,0.000283775,53.73743667,0.00122023,0.00255271,100,0.362316661,11182,10305,228.28,228.28,"Glutamatergic","L5 IT","Batf3",0.3915,0.8957618,"Core","F2S4_160329_027_B01","L5 IT",1,"F2S4_160329_027_B01",5066.8649371697,1921.43113866208,-0.0193009425593907,0.0500947977144354,0.429418965491542
"F2S4_160428_001_D01","F2S4",2272630,11344,523734722,"Cells","Mus musculus",242308,"M",55,"Normal","Slc17a7-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Slc17a7-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","4/28/2016","F2S4_160428_001","RFP-positive","A8S4_160509_01","L8S4_160513_03_D01",487,"LS-15095_S04_E1-50","LS-15095","R8S4-160527",3108993,84.586829755655,12.014559164324,3.39861108002102,0.126182336,0.000192989,88.03400329,0.001665169,0.003415897,96.76502971,0.339267518,12348,11562,305.24,305.24,"Glutamatergic","L5 IT","Batf3",0.158,0.901575479,"Core","F2S4_160428_001_D01","L5 IT",1,"F2S4_160428_001_D01",5097.92888210462,2006.36823753035,-0.0183976088648309,0.0192028405096287,0.404348836524829
"F2S4_160622_015_F01","F2S4",2002227,10105,535907162,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_015","RFP-positive","A8S4_160630_01","L8S4_160708_02_F03",439,"LS-15362_S22_E1-50","LS-15362","R8S4-160715",2607925,89.0491392210966,7.74250836460606,3.20835241429736,0.12726593,0.002684126,87.35837879,0.002985899,0.002327521,96.01618145,0.351100533,10936,10225,494.65,494.65,"Glutamatergic","L5 IT","Batf3",0.1462,0.890192646,"Core","F2S4_160622_015_F01","L5 IT",1,"F2S4_160622_015_F01",5107.45302436674,1927.41424925721,0.0779868960852458,-0.0162331290666799,0.474925175227303
"F2S4_170126_005_H01","F2S4",1495625,10447,572404803,"Cells","Mus musculus",293797,"F",58,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, VISam","none","RV-dGL-Cre","Inj_Site_Dissected","1/26/2017","F2S4_170126_005","RFP-positive","A8S4_170201_02","L8S4_170208_06_H01",496,"SM-D9CZF_S08_E1-50","SM-D9CZF","R8S4-170222",1943287,88.4124716283297,8.22574258057786,3.36178579109245,0.154017394,0.000205837,88.49495726,0.003558918,0.001079099,96.70841209,0.346324231,11314,10645,404.47,404.47,"Glutamatergic","L5 IT","Whrn Tox2",0.6193,0.905850072,"Core","F2S4_170126_005_H01","L5 IT",1,"F2S4_170126_005_H01",5120.39641238902,1965.96258426671,-0.0061664734769451,0.0505892818349652,0.302000389412931
"F2S4_160127_017_H01","F2S4",365668,8735,541796099,"Cells","Mus musculus",227800,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/27/2016","F2S4_160127_017","RFP-positive","A8S4_160718_02","L8S4_160726_02_H02",408,"LS-15383_S16_E2-50","LS-15383","R8S4-160805",2515602,86.169725581555,9.88362411452451,3.94665030392043,0.025401474,0.000159008,17.18841057,0.000768405,0.002967481,100,0.388046404,9508,8900,94.21,94.21,"Glutamatergic","L5 IT","Col27a1",0.0882,0.893511411,"Core","F2S4_160127_017_H01","L5 IT",1,"F2S4_160127_017_H01",2580.55505801596,4371.30237413706,0.361221281288927,0.011699823759906,-0.109094239821439
"F2S4_160818_006_B01","F2S4",1764688,10863,551133081,"Cells","Mus musculus",264196,"F",56,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","8/18/2016","F2S4_160818_006","RFP-positive","A8S4_160901_02","L8S4_160908_03_B03",404,"LS-15544_S18_E1-50","LS-15544","R8S4-160916",2599524,81.7635563002346,13.875217010514,4.36122668925134,0.092093783,0.003423704,84.62206927,0.002519307,0.003708371,94.45506177,0.357700476,12089,11094,312.75,312.75,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.692,0.896030494,"Intermediate","F2S4_160818_006_B01","L5 IT",1,"F2S4_160818_006_B01",2345.42833737753,3546.7836681516,-0.0990552191048473,0.218488618404688,-0.00301201469921952
"F2S4_180228_004_C01","F2S4",463480,8078,678697277,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_004","RFP-positive","A8S4_180302_06","L8S4_180309_03_C04",383,"SM-GE91H_S123_E1-50","SM-GE91H","R8S4-180321",632932,85.8062471037755,8.95932505081189,5.23442784541257,0,0.715400707,85.7310106,0.002747531,0.001737943,95.84426131,0.374705264,8897,8228,349.17,349.17,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1371,0.860411832,"Core","F2S4_180228_004_C01","L5 IT",1,"F2S4_180228_004_C01",2237.37156049752,3594.03194369813,-0.142887417594529,0.27857549480693,-0.218308728147299
"F2S4_160128_013_A01","F2S4",1795986,9945,527149471,"Cells","Mus musculus",227802,"M",55,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/28/2016","F2S4_160128_013","RFP-positive","A8S4_160318_03","L8S4_160330_01_A03",673,"LS-15041_S17_E1-50","LS-15041","R8S4-160405-M",2603935,81.2768868528481,15.0955977071768,3.62751543997508,0.124119842,0.000422438,86.44993059,0.004313856,0.005321945,95.67389355,0.336683186,11026,10108,347.55,347.55,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.2536,0.889242401,"Core","F2S4_160128_013_A01","L5 IT",1,"F2S4_160128_013_A01",4855.85104685933,1551.20218388496,0.244173961620191,0.0517717996038377,0.214277070049591
"F2S4_170116_012_A01","F2S4",1958176,9568,570287293,"Cells","Mus musculus",292251,"M",58,"Normal","Rorb-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Rorb-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L2/3-L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/16/2017","F2S4_170116_012","RFP-positive","A8S4_170120_03","L8S4_170126_06_A07",411,"SM-D9CYV_S49_E1-50","SM-D9CYV","R8S4-170209",2619893,89.1297571527482,7.44234777380131,3.4278950734505,0.118478121,0.000305356,85.10343743,0.005239909,0.001105389,95.95857541,0.361534056,10534,9706,424.06,424.06,"Glutamatergic","L5 IT","Whrn Tox2",0.7711,0.893430554,"Intermediate","F2S4_170116_012_A01","L5 IT",1,"F2S4_170116_012_A01",2100.99150915655,4648.86555716769,0.00176230511870268,0.205010285041545,-0.00414782147177584
"F2S4_160516_003_G01","F2S4",1552577,10310,535949553,"Cells","Mus musculus",245824,"M",54,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","5/16/2016","F2S4_160516_003","RFP-positive","A8S4_160620_02","L8S4_160629_03_G01",340,"LS-15351_S07_E1-50","LS-15351","R8S4-160712",2325910,80.4267310387912,14.7981094730892,4.77515948811959,0.113288992,0.000687903,84.84511439,0.001680633,0.004223293,95.2689055,0.351964853,11553,10484,239.91,239.91,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.1245,0.882780103,"Core","F2S4_160516_003_G01","L5 IT",1,"F2S4_160516_003_G01",2569.1300517371,3791.27305745557,0.254652828508075,-0.0554211842744339,0.0931767324164168
"F2S4_160624_029_H01","F2S4",1438595,9006,535909492,"Cells","Mus musculus",252599,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/24/2016","F2S4_160624_029","RFP-positive","A8S4_160630_03","L8S4_160708_04_H06",364,"LS-15364_S48_E1-50","LS-15364","R8S4-160715",2178545,79.2109319246219,16.0949479431908,4.69412013218729,0.111588239,0.000137707,85.38235382,0.002974462,0.007442123,95.81734598,0.359370069,10218,9167,150.56,150.56,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.1409,0.890901636,"Core","F2S4_160624_029_H01","L5 IT",1,"F2S4_160624_029_H01",2616.35772897936,3837.27364265274,0.261445359175826,-0.0586378734609257,0.0796481140802278
"F2S4_161128_011_H01","F2S4",1826506,10362,563197186,"Cells","Mus musculus",284143,"M",53,"Normal","Ai14(RCL-tdT)/wt","","Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, VISam","none","AAV2-retro-EF1a-Cre","OK","11/28/2016","F2S4_161128_011","RFP-positive","A8S4_161130_04","L8S4_161207_06_H06",363,"LS-15933_S48_E1-50","LS-15933","R8S4-161221",2777521,80.8902481341406,14.5665971418039,4.54315472405555,0.107325921,0.00075607,83.04178438,0.003605373,0.003760908,94.49095074,0.349081244,11653,10505,156.25,156.25,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.9314,0.86771987,"Core","F2S4_161128_011_H01","L5 IT",1,"F2S4_161128_011_H01",2576.93469789748,3830.50425417831,0.303188422927738,-0.0448748749421117,0.056363099932063
"F2S4_160613_002_D01","F2S4",1486187,10159,530711033,"Cells","Mus musculus",250386,"F",57,"Normal","Scnn1a-Tg2-Cre/wt;Ai14(RCL-tdT)/wt","Scnn1a-Tg2-Cre","Ai14(RCL-tdT)","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/13/2016","F2S4_160613_002","RFP-positive","A8S4_160615_01","L8S4_160621_03_D02",462,"LS-15343_S12_E1-50","LS-15343","R8S4-160707",2329460,74.1951967562637,20.9652388065018,4.83956443723448,0.093283422,8.59e-05,88.29411108,0.001795266,0.002700197,96.78582161,0.316446951,11257,10443,198.33,198.33,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1461,0.885890749,"Core","F2S4_160613_002_D01","L5 IT",1,"F2S4_160613_002_D01",2669.59026384368,2656.44363042054,-0.142590180433136,0.376375370602152,-0.116990276784873
"F2S4_161007_006_A01","F2S4",1665266,10810,559954862,"Cells","Mus musculus",273954,"M",57,"Normal","Tlx3-Cre_PL56/wt;Ai14(RCL-tdT)/wt","Tlx3-Cre_PL56","Ai14(RCL-tdT)","L","VISp","L4-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","10/7/2016","F2S4_161007_006","RFP-positive","A8S4_161028_05","L8S4_161107_01_A08",407,"SM-D9EP5_S57_E1-50","SM-D9EP5","R8S4-161116",2422615,80.6921275797065,15.4206779817508,3.88719443854266,0.111614928,0.000247666,87.03458866,0.001978441,0.001464533,96.44376015,0.353426395,11908,11059,304.22,304.22,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1371,0.903712375,"Core","F2S4_161007_006_A01","L5 IT",1,"F2S4_161007_006_A01",2709.29232116766,2661.31668328738,-0.161171096547275,0.397637274426383,-0.25373115741737
"F2S4_160113_015_C01","F2S4",1166094,9874,527141967,"Cells","Mus musculus",225974,"M",53,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/13/2016","F2S4_160113_015","RFP-positive","A8S4_160223_01","L8S4_160302_01_C02",556,"LS-15020_S11_E1-50","LS-15020","R8S4-160308",1952444,74.2812530681213,20.1108933582549,5.60785357362375,0.112115892,0.000358525,82.92340267,0.003554007,0.036741643,92.98914591,0.355620472,11135,10113,249.43,249.43,"Glutamatergic","L5 IT","Col27a1",0.0882,0.874089154,"Core","F2S4_160113_015_C01","L5 IT",1,"F2S4_160113_015_C01",2008.04293526212,6238.52193411275,0.355827257381971,-0.0089342915625133,-0.135665418040922
"F2S4_160128_013_B01","F2S4",1527781,9545,527149475,"Cells","Mus musculus",227802,"M",55,"Normal","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","Snap25-IRES2-Cre","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/28/2016","F2S4_160128_013","RFP-positive","A8S4_160318_03","L8S4_160330_01_B03",616,"LS-15041_S18_E1-50","LS-15041","R8S4-160405-M",2630483,70.2511331016329,24.4994508944487,5.2494160039184,0.095153628,0.000190079,85.01647796,0.00376889,0.007572754,94.77088428,0.324112407,11105,9735,105.68,105.68,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.1045,0.861646565,"Core","F2S4_160128_013_B01","L5 IT",1,"F2S4_160128_013_B01",1969.99089544194,6226.19139213265,0.318827712590188,-0.0615693041675297,0.0277135062622736
"F2S4_160615_003_F01","F2S4",1677411,9308,535949078,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_003","RFP-positive","A8S4_160620_01","L8S4_160629_02_F05",406,"LS-15350_S38_E1-50","LS-15350","R8S4-160712",2497856,79.5979307460845,15.6216824032618,4.78038685065375,0.133674639,0.000240206,86.58273335,0.003837291,0.003562655,96.48358432,0.346717199,10555,9520,221.39,221.39,"Glutamatergic","L5 IT","Batf3",0.1374,0.886400301,"Core","F2S4_160615_003_F01","L5 IT",1,"F2S4_160615_003_F01",1809.20991085033,5239.28534867145,0.051502832018094,-0.102912327653658,0.486493626601357
"F2S4_161109_002_C01","F2S4",1802215,10143,561423679,"Cells","Mus musculus",280709,"M",53,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","RSP","RSP, PTLp, VISam","none","CAV2-Cre.V795","Inj_Site_Dissected","11/9/2016","F2S4_161109_002","RFP-positive","A8S4_161110_01","L8S4_161117_05_H12",403,"SM-D9EOS_S96_E1-50","SM-D9EOS","R8S4-161130",2499036,86.2186831470543,9.65230646285911,4.12901039008655,0.117005117,0.000520201,85.23778769,0.00446172,0.003273262,95.44188239,0.365793564,11211,10290,582.22,582.22,"Glutamatergic","L5 IT","Batf3",0.1374,0.88985012,"Core","F2S4_161109_002_C01","L5 IT",1,"F2S4_161109_002_C01",1920.11788888978,5205.49055319591,0.0682773560282665,-0.121938017186849,0.449488865641716
"F2S4_170116_008_A01","F2S4",1881300,9681,570285878,"Cells","Mus musculus",292251,"M",58,"Normal","Rorb-IRES2-Cre-neo/wt;Ai14(RCL-tdT)/wt","Rorb-IRES2-Cre-neo","Ai14(RCL-tdT)","L","VISp","L5-L6","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/16/2017","F2S4_170116_008","RFP-positive","A8S4_170120_01","L8S4_170126_04_A08",434,"SM-D9CYT_S57_E1-50","SM-D9CYT","R8S4-170208",2627365,85.1770065863224,10.8740274288177,3.94896598485992,0.148818303,0.000228366,85.61136348,0.004115911,0.001614165,95.71361421,0.357493607,10780,9838,234.46,234.46,"Glutamatergic","L5 IT","Batf3",0.1374,0.873159678,"Core","F2S4_170116_008_A01","L5 IT",1,"F2S4_170116_008_A01",1820.30025919376,5190.02970941057,0.0798468237144433,-0.0934878859098391,0.363008978307224
"F2S4_180110_005_B01","F2S4",763361,9284,660543457,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_005","RFP-positive","A8S4_180111_08","L8S4_180118_01_B02",375,"SM-GE675_S106_E1-50","SM-GE675","R8S4-180124",1041457,86.4644126879189,9.67033114067343,3.86525617140771,0.101876506,0.000480097,86.12847194,0.002554114,0.002547393,96.15538616,0.360733799,10186,9444,177.64,177.64,"Glutamatergic","L5 IT","Batf3",0.1374,0.902871792,"Core","F2S4_180110_005_B01","L5 IT",1,"F2S4_180110_005_B01",1896.87912207092,5166.1144202825,0.048395148249865,-0.047052015908016,0.450497164921547
"F2S4_160615_002_A01","F2S4",1858927,9353,535948974,"Cells","Mus musculus",250951,"M",57,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/15/2016","F2S4_160615_002","RFP-positive","A8S4_160620_01","L8S4_160629_02_A04",395,"LS-15350_S25_E1-50","LS-15350","R8S4-160712",2582316,84.9543334116746,10.9505818673258,4.09508472099956,0.130890255,0.000890673,86.10940721,0.002878037,0.003918575,96.96884502,0.351983748,10233,9468,322.58,322.58,"Glutamatergic","L5 IT","Whrn Tox2",0.2392,0.883813092,"Core","F2S4_160615_002_A01","L5 IT",1,"F2S4_160615_002_A01",2595.59089389828,2956.20207661925,-0.0744875230489748,0.16998843571676,0.0637326107306249
"F2S4_160622_015_E01","F2S4",1828977,8699,535907137,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_015","RFP-positive","A8S4_160630_01","L8S4_160708_02_E03",495,"LS-15362_S21_E1-50","LS-15362","R8S4-160715",2476373,88.6415010619176,7.43037518058312,3.9281237574993,0.132895973,0.00024229,84.85531057,0.001923377,0.003870176,96.36137206,0.356117579,9572,8836,319.01,319.01,"Glutamatergic","L5 IT","Batf3",0.1374,0.889693579,"Core","F2S4_160622_015_E01","L5 IT",1,"F2S4_160622_015_E01",2570.7095561833,3030.70758191474,-0.0156767050710222,-0.0587578613072957,0.343012374237682
"F2S4_160622_020_G01","F2S4",1510245,9132,535908630,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_020","RFP-positive","A8S4_160630_02","L8S4_160708_03_G04",411,"LS-15363_S31_E1-50","LS-15363","R8S4-160715",2121839,84.8727862127971,10.7783693682263,4.34884441897661,0.095718855,0.00089545,85.71941603,0.003265564,0.004014913,96.45072034,0.356221085,10131,9260,334.14,334.14,"Glutamatergic","L5 IT","Batf3",0.4056,0.880915708,"Core","F2S4_160622_020_G01","L5 IT",1,"F2S4_160622_020_G01",2590.34025231931,2995.85596373022,-0.0570587680255429,0.0373880502804907,0.196719304728497
"F2S4_180110_004_A01","F2S4",513736,7914,660543348,"Cells","Mus musculus",366890,"F",59,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","1/10/2018","F2S4_180110_004","RFP-positive","A8S4_180111_08","L8S4_180118_01_A01",377,"SM-GE675_S097_E1-50","SM-GE675","R8S4-180124",819157,74.8628949820927,20.3915662659436,4.7455387519637,0.12134426,0.000122077,85.92247884,0.004747564,0.002828518,95.50623385,0.34526096,9056,8132,191.66,191.66,"Glutamatergic","L5 IT","Col6a1 Fezf2",0.0282,0.861202394,"Core","F2S4_180110_004_A01","L5 IT",1,"F2S4_180110_004_A01",2940.68253326095,3202.90487000806,0.223912054350473,-0.12082135329675,0.106984461582539
"F2S4_180228_005_C01","F2S4",485387,7337,678697373,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L4","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_005","RFP-positive","A8S4_180302_06","L8S4_180309_03_C05",400,"SM-GE91H_S131_E1-50","SM-GE91H","R8S4-180321",704254,80.3085990259058,14.1695497798887,5.52185119420548,0,0.622644671,86.92687581,0.002920821,0.001749369,96.16842787,0.36127641,8195,7528,157.61,157.61,"Glutamatergic","L5 IT","Batf3",0.1374,0.869637573,"Core","F2S4_180228_005_C01","L5 IT",1,"F2S4_180228_005_C01",2874.89053020241,2541.81295540793,-0.0455292610290149,0.00429606001485633,0.480272021094209
"F2S4_180228_007_A01","F2S4",449936,8168,678699543,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_007","RFP-positive","A8S4_180302_08","L8S4_180309_05_A05",372,"SM-GE91H_S321_E1-50","SM-GE91H","R8S4-180321",599563,87.9750491567935,7.35804687935833,4.66690396384819,0,0.574418368,85.75095528,0.003092252,0.001402688,95.73089067,0.382027635,8886,8307,236.84,236.84,"Glutamatergic","L5 IT","Batf3",0.1374,0.881442827,"Core","F2S4_180228_007_A01","L5 IT",1,"F2S4_180228_007_A01",2825.7153981275,2628.31390252566,-0.0252703951423952,-0.0490355234860629,0.453195675655871
"F2S4_180228_009_E01","F2S4",503881,7269,678697629,"Cells","Mus musculus",373084,"F",74,"Normal","Rorb-IRES2-FlpO/wt;Ai65F/wt","Rorb-IRES2-FlpO","Ai65F","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","2/28/2018","F2S4_180228_009","RFP-positive","A8S4_180302_06","L8S4_180309_03_E08",397,"SM-GE91H_S157_E1-50","SM-GE91H","R8S4-180321",725516,81.728986939777,12.7415578960396,5.52945516418337,0,0.653328114,85.96088853,0.003462363,0.001869015,95.63607143,0.369836097,8136,7435,333.56,333.56,"Glutamatergic","L5 IT","Batf3",0.1374,0.852976914,"Core","F2S4_180228_009_E01","L5 IT",1,"F2S4_180228_009_E01",2835.55563762278,2549.07655926121,-0.0589155213731495,-0.0279971590658127,0.364215068797414
"F2S4_160622_012_H01","F2S4",1398539,10300,535904113,"Cells","Mus musculus",252193,"M",58,"Normal","Rbp4-Cre_KL1/wt;Ai14(RCL-tdT)/wt","Rbp4-Cre_KL100","Ai14(RCL-tdT)","L","VISp","L5","No Injection","No Injection","No Injection","No Injection","No Injection","No Injection","6/22/2016","F2S4_160622_012","RFP-positive","A8S4_160628_01","L8S4_160706_04_H06",435,"LS-15360_S48_E1-50","LS-15360","R8S4-160715",2411994,68.8143450319284,26.438952944767,4.74670202330464,0.104726629,0.000165838,86.73495871,0.002197767,0.004135582,95.48315626,0.317614723,11616,10543,180.35,180.35,"Glutamatergic","L5 IT","Hsd11b1 Endou",0.1371,0.886522404,"Core","F2S4_160622_012_H01","L5 IT",1,"F2S4_160622_012_H01",2835.72367778541,2298.52559796734,-0.138915879509452,0.423559144738452,-0.221376527615623
"F2S4_161111_001_C01","F2S4",1688193,10819,561526763,"Cells","Mus musculus",280712,"F",55,"Normal","Ai14(RCL-tdT)/Ai14(RCL-tdT)","","Ai14(RCL-tdT)/Ai14(RCL-tdT)","L","VISp","L1-L6","Retrograde","CP-c","CP, cc","MOp","CAV2-Cre.V795","OK","11/11/2016","F2S4_161111_001","RFP-positive","A8S4_161115_01","L8S4_161122_03_C04",395,"SM-D9EPX_S27_E1-50","SM-D9EPX","R8S4-161207",2342445,86.4779544827952,9.61243394901209,3.90961156819269,0.12025896,0.001280713,84.74948184,0.002720662,0.003291006,95.46712943,0.360235441,11822,10968,347.07,347.07,"Glutamatergic","L5 IT","Whrn Tox2",0.088,0.88652088,"Core","F2S4_161111_001_C01","L5 IT",1,"F2S4_161111_001_C01",3181.975333208,1682.01323678121,-0.061926665042039,0.0893168053053568,0.0515913116415304
