gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	AVN_P_cell	AVN_bundle_cell	Adip1	Adip2	B	B_plasma	CD14+Mo	CD16+Mo	CD4+T_act	CD4+T_naive	CD8+T_te	CD8+T_trans	DC	EC10_CMC-like	EC1_cap	EC2_cap	EC3_cap	EC4_immune	EC5_art	EC6_ven	EC7_endocardial	EC8_ln	FB1	FB2	FB3	FB4_activated	FB5	FB6	LYVE1+IGF1+MP	LYVE1+MP_cycling	LYVE1+TIMD4+MP	Mast	MoMP	NC1_glial	NC2_glial_NGF+	NK_CD16hi	NK_CD56hi	PC1_vent	PC2_atria	PC3_str	PC4_CMC-like	SMC1_basic	SMC2_art	aCM1	aCM2	aCM3	aCM4	myocardium_ventricular	node	vCM1	vCM2	vCM4
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0CA804C89	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0C78F642C	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC033AC2E73	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC03E04AA64	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0AC4592F2	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0DCE246DF	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0222B6286	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A2	CPI-CC0DD99C42B	0.04	0.093	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.026	0.0	0.197	0.291	0.29	0.265	0.265	0.185	0.006	0.021	0.0	0.0	0.047	0.0	0.117	0.025	0.0	0.148	0.136	0.12	0.098	0.036	0.038	0.013	0.007	0.002	0.048	0.148	0.256	0.101	0.054	0.071
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0FC6DD1EA	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0E765613E	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0692512DE	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS04BFC66DA	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS04473CE2B	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS037F4EF32	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0EB60A2B2	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS06BDC8BFA	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS077A43ACD	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0D33309E7	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS071698505	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS0305D24F6	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS002D05AD7	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS09F74FD39	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CS017089111	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC0918CCE56	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC0063E25BD	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC049F2ABCF	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC02BF19DCF	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC0E60351FF	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC0CB231C91	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC06CC71FC3	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC0E366FBD5	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC036772033	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A3	CPI-CC016C39E1C	1.048	0.892	0.503	0.966	0.0	0.0	0.339	0.209	0.0	0.0	0.0	0.0	0.29	0.344	0.011	0.019	0.0	0.062	0.048	0.032	0.016	0.039	0.034	0.226	0.154	0.057	0.067	0.23	0.593	0.665	0.741	0.0	0.871	0.043	0.076	0.0	0.0	0.0	0.021	0.024	0.582	0.0	0.0	0.962	1.002	1.081	1.07	0.139	0.038	0.645	0.513	0.621
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0AC140137	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0D4790CB0	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS068F11B5E	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0BCE841D5	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0603C3490	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0792FFF91	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0827BB954	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS052714C89	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0CD4875F8	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0C43745D6	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS07AF8702D	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS0A5376E7A	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS020F306DA	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS07EF8D9C2	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CS08910752E	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC007D5C2B3	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0BF385067	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
GLS	O94925	True	GLSK_HUMAN	Glutamate_byGLS_and_SLC1A6	CPI-CC0C8B25F6D	0.0	0.0	0.006	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.004	0.0	0.0	0.0	0.001	0.0	0.001
